,geography,category,data_type,unit,currency_conversion,current_constant,year_nk,value
107,"Hong Kong, China",Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,280495.2
108,India,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,2030051.8
109,Indonesia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,606599.0
110,Japan,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,2867711.7
111,Kazakhstan,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,82266.9
112,Laos,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,11539.5
113,Malaysia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,158385.6
114,Myanmar,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,39580.8
115,Pakistan,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,259534.6
116,Philippines,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,237627.6
117,Singapore,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,166236.4
118,South Korea,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,836813.9
119,Sri Lanka,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,60636.5
120,Taiwan,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,364465.9
121,Thailand,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,240605.4
122,Turkmenistan,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,4406.2
123,Uzbekistan,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,38953.5
124,Vietnam,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,157424.3
125,Australia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,894430.2
126,New Zealand,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,112273.8
127,Belarus,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,31589.4
128,Bosnia and Herzegovina,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,14122.6
129,Bulgaria,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,34470.4
130,Croatia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,34044.5
131,Czech Republic,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,114064.3
132,Estonia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,14381.2
133,Georgia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,10265.9
134,Hungary,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,78569.6
135,Latvia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,18406.3
136,Lithuania,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,29206.6
137,North Macedonia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,7781.8
138,Poland,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,314303.5
139,Romania,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,133752.4
140,Russia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,934348.4
141,Serbia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,29032.9
142,Slovakia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,56377.3
143,Slovenia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,28627.7
144,Ukraine,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,77491.4
145,Argentina,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,428477.1
146,Bolivia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,22117.8
147,Brazil,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,1474964.2
148,Chile,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,180369.5
149,Colombia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,230799.7
150,Costa Rica,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,40244.1
151,Dominican Republic,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,64316.0
152,Ecuador,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,72266.2
153,El Salvador,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,28358.5
154,Guatemala,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,63382.5
155,Honduras,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,17855.5
156,Mexico,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,869114.2
157,Panama,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,34527.6
